step,fish,sharks
406,6829,5990
407,6461,5912
408,6085,5736
409,5761,5644
410,5517,5561
411,7064,5409
412,7540,5390
413,7878,5315
414,7758,5257
415,7489,5209
416,7183,5078
417,6918,5018
418,6630,4946
419,6244,4954
420,6079,4768
421,8003,4786
422,8617,4702
423,9054,4703
424,8833,4599
425,8723,4542
426,8446,4448
427,8099,4474
428,7808,4389
429,7579,4346
430,7507,4271
431,9463,4294
432,10311,4239
433,10844,4159
434,10654,4144
435,10378,4148
436,10138,4125
437,9958,4066
438,9599,4004
439,9329,3954
440,9189,3931
441,11519,3880
442,12442,3885
443,13064,3886
444,12979,3900
445,12892,3887
446,12635,3837
447,12495,3798
448,12155,3806
449,11804,3803
450,11683,3790
451,14433,3785
452,15457,3808
453,16173,3846
454,16058,3887
455,15953,3890
456,15668,3899
457,15552,3944
458,15197,3931
459,14733,3937
460,14701,3896
461,17596,3959
462,18975,4090
463,19695,4081
464,19536,4152
465,19471,4176
466,19115,4180
467,18965,4237
468,18410,4354
469,17826,4383
470,17633,4361
471,20841,4485
472,22232,4555
473,22972,4574
474,22719,4723
475,22559,4848
476,22106,4906
477,21813,4984
478,21058,5084
479,20504,5183
480,20045,5199
481,23473,5283
482,24875,5422
483,25855,5482
484,25540,5699
485,25176,5786
486,24576,5812
487,24058,5961
488,23251,6075
489,22571,6170
490,22048,6206
491,25392,6350
492,26792,6531
493,27820,6606
494,27434,6790
495,27023,6942
496,26133,7101
497,25464,7195
498,24341,7340
499,23368,7491
500,22815,7486
501,26503,7594
502,27866,7786
503,28729,7966
504,28292,8082
505,27724,8280
506,26798,8381
507,26077,8537
508,24784,8622
509,23885,8735
510,23130,8786
511,26623,8926
512,28039,9017
513,29194,9196
514,28671,9173
515,27965,9442
516,26763,9616
517,25874,9819
518,24659,9791
519,23523,9903
520,22565,9902
521,25896,10060
522,27193,10165
523,28044,10334
524,27521,10477
525,26990,10530
526,25849,10596
527,24970,10816
528,23526,10947
529,22328,11018
530,21425,10976
531,24155,11085
532,25167,11144
533,26078,11282
534,25494,11346
535,24607,11446
536,23473,11509
537,22499,11550
538,21040,11621
